"Aspartate";"Isoleucine";"Leucine";"Serine";"Tryptophan";"Valine";"beta.Sitosterol";"Tetracosanoate";"X4MTB";"X7MTH";"X8MTO";"BenzoylGlucosinolate.3Breakdown";"Sulfite";"U2609.4.361";"H2SO4";"Gluconate";"Pentonate.4";"Allantoin";"Glycerol.3.P";"Digalactosylglycerol";"Galactinol";"Rhamnose";"U1408.4.298";"U1647.2.403";"U1718.0.157";"U2076.9.204";"U2513.2.296.1";"U3218.5.297"
0.147360459;0.030546914;0.020215789;0.114608537;0.7643764;0.108157095;1.919888196;0.002299652;0.069353751;0.01806192;0.040063516;0.065945797;0.013715006;0.007791737;0.488063284;1.221069039;0.000401613;0.006272704;0.027694751;0.703931144;0.543552222;0.060078914;0.008675715;0.000805601;0.000835109;0.187280266;0.05294323;0.009480696
0.149486978;0.029564253;0.021966345;0.135027207;0.712301913;0.099351382;1.889234092;0.00224532;0.129625317;0.034300568;0.066209943;0.064370548;0.02285237;0.013852392;0.507636454;1.480002049;0.000525316;0.006633719;0.015892415;0.751556417;0.65072789;0.061105667;0.009792704;0.000984159;0.001146547;0.064790666;0.058142667;0.009831164
0.140378787;0.033741244;0.027256833;0.156913803;0.828505967;0.115849243;1.989719803;0.002909435;0.074694415;0.020770955;0.043501565;0.071253397;0.007780398;0.010099836;0.515359047;1.710057373;0.000864209;0.007138046;0.018331262;0.751243665;0.486294586;0.061428086;0.008787668;0.001053415;0.00107905;0.227753712;0.052567468;0.009291544
0.28173995;0.053982475;0.039801942;0.214929226;0.277259047;0.128295785;1.891628061;0.000744185;0.558864451;0.098481764;0.143968675;0.055868857;0.027521134;0.06069445;0.671908982;2.037429896;0.00200519;0.011241245;0.025069998;0.956526838;3.508501327;0.085361268;0.031473601;0.001787796;0.001570448;0.083371926;0.04321981;0.005334038
0.308790207;0.057259034;0.042633532;0.193796832;0.323306207;0.133334782;1.928438927;0.001207853;0.500018501;0.082413136;0.127420619;0.056346677;0.040379624;0.056570856;0.608499047;2.263618537;0.001097856;0.011120373;0.025411637;0.914523603;2.969518736;0.078232778;0.024382691;0.001298376;0.001256673;0.075186881;0.048376965;0.004069525
0.327858245;0.063799668;0.042363551;0.208224451;0.301157247;0.14067996;2.017613135;0.001747998;0.625847053;0.112167322;0.166196878;0.052614308;0.035578855;0.077748644;0.733474874;2.428749146;0.001656908;0.010767061;0.026439476;0.948978113;3.149141524;0.086815828;0.036460067;0.001480938;0.001631112;0.067420516;0.041392745;0.00509096
0.414793385;0.092303171;0.063159459;0.301091804;0.138955435;0.169334799;1.727882544;0.001058864;1.403958737;0.177698445;0.16889111;0.026366028;0.070505259;0.06617259;0.716911534;2.232489103;0.001357828;0.010811897;0.045270332;1.110001264;7.964662016;0.133550038;0.06304981;0.00139991;0.002398038;0.335768616;0.035290584;0.001303402
0.316539931;0.062685054;0.037039133;0.221766506;0.135292232;0.120790081;1.805383502;0.001927391;1.749708583;0.238207815;0.2364105;0.01751655;0.081112784;0.08066251;0.622969129;1.821211285;0.001252422;0.01022026;0.030393156;0.968425842;7.066392026;0.130604051;0.063246562;0.000595962;0.001890189;0.184400614;0.041697563;0.000775165
0.389349709;0.075157593;0.045635574;0.2671829;0.120248403;0.138503101;1.855951076;0.001142964;1.670742163;0.20746431;0.20072243;0.018412062;0.071761897;0.073468837;0.739535415;1.792772114;0.001218297;0.01069702;0.038442979;1.135310409;8.290710141;0.152884101;0.065640747;0.001234816;0.001928084;0.203148861;0.02848673;0.000772069
